"State","Season","Week ending date","Age Category","Sex","Race","Rate Type","Weekly Rate","Cumulative Rate"
"TN","2021-22","2022-02-12","1-4 years","All","All","Observed","6.8","52.9"
"TN","2021-22","2022-02-05","1-4 years","All","All","Observed","5.6","46.1"
"TN","2021-22","2022-01-29","1-4 years","All","All","Observed","6.8","40.5"
"TN","2021-22","2022-01-22","1-4 years","All","All","Observed","13.5","33.8"
"TN","2021-22","2022-01-15","1-4 years","All","All","Observed","4.5","20.3"
"TN","2021-22","2022-01-08","1-4 years","All","All","Observed","9.0","15.8"
"TN","2021-22","2022-01-01","1-4 years","All","All","Observed","2.3","6.8"
"TN","2021-22","2021-12-25","1-4 years","All","All","Observed","1.1","4.5"
"TN","2021-22","2021-12-18","1-4 years","All","All","Observed","0.0","3.4"
"TN","2021-22","2021-12-11","1-4 years","All","All","Observed","0.0","3.4"
"TN","2021-22","2021-12-04","1-4 years","All","All","Observed","0.0","3.4"
"TN","2021-22","2021-11-27","1-4 years","All","All","Observed","0.0","3.4"
"TN","2021-22","2021-11-20","1-4 years","All","All","Observed","0.0","3.4"
"TN","2021-22","2021-11-13","1-4 years","All","All","Observed","1.1","3.4"
"TN","2021-22","2021-11-06","1-4 years","All","All","Observed","0.0","2.3"
"TN","2021-22","2021-10-30","1-4 years","All","All","Observed","1.1","2.3"
"TN","2021-22","2021-10-23","1-4 years","All","All","Observed","0.0","1.1"
"TN","2021-22","2021-10-16","1-4 years","All","All","Observed","0.0","1.1"
"TN","2021-22","2021-10-09","1-4 years","All","All","Observed","1.1","1.1"
"IA","2021-22","2021-10-09","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-10-16","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-10-23","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-10-30","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-11-06","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-11-13","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-11-20","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-11-27","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-12-04","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-12-11","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-12-18","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2021-12-25","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2022-01-01","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2022-01-08","1-4 years","All","All","Observed","0.0","0.0"
"IA","2021-22","2022-01-15","1-4 years","All","All","Observed","31.4","31.4"
"IA","2021-22","2022-01-22","1-4 years","All","All","Observed","0.0","31.4"
"IA","2021-22","2022-01-29","1-4 years","All","All","Observed","0.0","31.4"
"IA","2021-22","2022-02-05","1-4 years","All","All","Observed","15.7","47.1"
"IA","2021-22","2022-02-12","1-4 years","All","All","Observed","0.0","47.1"
"IA","2021-22","2022-02-19","1-4 years","All","All","Observed","0.0","47.1"
"IA","2021-22","2022-02-26","1-4 years","All","All","Observed","15.7","62.8"
"IA","2021-22","2022-03-05","1-4 years","All","All","Observed","0.0","62.8"
"IA","2021-22","2022-03-12","1-4 years","All","All","Observed","0.0","62.8"
"IA","2021-22","2022-03-19","1-4 years","All","All","Observed","0.0","62.8"
"IA","2021-22","2022-03-26","1-4 years","All","All","Observed","0.0","62.8"
"IA","2021-22","2022-04-02","1-4 years","All","All","Observed","0.0","62.8"
"IA","2021-22","2022-04-09","1-4 years","All","All","Observed","15.7","78.5"
"IA","2021-22","2022-04-16","1-4 years","All","All","Observed","0.0","78.5"
"IA","2021-22","2022-04-23","1-4 years","All","All","Observed","0.0","78.5"
"IA","2021-22","2022-04-30","1-4 years","All","All","Observed","0.0","78.5"
"IA","2021-22","2022-05-07","1-4 years","All","All","Observed","0.0","78.5"
"IA","2021-22","2022-05-14","1-4 years","All","All","Observed","0.0","78.5"
"IA","2021-22","2022-05-21","1-4 years","All","All","Observed","0.0","78.5"
"MD","2021-22","2021-10-09","1-4 years","All","All","Observed","2.8","2.8"
"MD","2021-22","2021-10-16","1-4 years","All","All","Observed","1.0","3.8"
"MD","2021-22","2021-10-23","1-4 years","All","All","Observed","0.7","4.5"
"MD","2021-22","2021-10-30","1-4 years","All","All","Observed","1.0","5.6"
"MD","2021-22","2021-11-06","1-4 years","All","All","Observed","0.0","5.6"
"MD","2021-22","2021-11-13","1-4 years","All","All","Observed","0.3","5.9"
"MD","2021-22","2021-11-20","1-4 years","All","All","Observed","0.3","6.3"
"MD","2021-22","2021-11-27","1-4 years","All","All","Observed","0.7","6.9"
"MD","2021-22","2021-12-04","1-4 years","All","All","Observed","1.7","8.7"
