
"Incidence, Michigan, All Cancer Sites, Hispanic (any race), All Ages, Both Sexes"

Section 1 - Line Segments:
Period,Annual Percent Change (1),Lower 95% Confidence Interval,Upper 95% Confidence Interval,Recent Trend
2002-2008,3.6,1.1,9.6,rising
2008-2011,-11.9,-15.2,-4.7,falling
2011-2022,-1.1,-2.2,2.5,stable

Section 2 - Yearly Points:
Year,Observed,Estimated
2002,467.4,448.7
2003,439.9,465.0
2004,483.7,481.9
2005,523.3,499.3
2006,474.2,517.5
2007,556.7,536.2
2008,521.4,555.7
2009,555.9,489.6
2010,391.0,431.3
2011,391.8,380.0
2012,397.9,376.0
2013,352.9,372.0
2014,360.2,368.1
2015,348.6,364.2
2016,381.5,360.3
2017,345.5,356.5
2018,355.3,352.7
2019,337.1,349.0
2020,322.4,345.3
2021,346.5,341.6
2022,342.9,338.0


Notes:

Created by statecancerprofiles.cancer.gov on 02/24/2026 5:52 pm.

"Source: Incidence data provided by the SEER Program [ https://seer.cancer.gov ] and the National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] SEER*Stat Database United States Department of Health and Human Services, Centers for Disease Control and Prevention. Rates calculated by the National Cancer Institute using SEER*Stat [ https://seer.cancer.gov/seerstat/ ]. Rates are age-adjusted to the 2000 US standard population [ https://seer.cancer.gov/stdpopulations/ ] (SEER areas use 20 age groups and NPCR areas use 19 age groups). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US populations included with the data release have been adjusted for the population shifts due to hurricanes Katrina and Rita [ https://seer.cancer.gov/data/hurricane.html ] for 62 counties and parishes in Alabama, Mississippi, Louisiana, and Texas. The US Population Data [ https://seer.cancer.gov/popdata/ ] File is used with SEER data. Rates and trends in this graph are computed using the same standard for malignancy. For more information see malignant.html [ https://statecancerprofiles.cancer.gov/malignant.html ]."

"The 2020 incidence rate is displayed but not used in the fit of the trend line(s). Impact of COVID on SEER Cancer Incidence 2020 data [ https://seer.cancer.gov/data/covid-impact.html ]."

"(1) The APC is the Annual Percent Change over the time interval.  Rates used in the calculation of the APC are age-adjusted to the 2000 U.S. standard population [ https://seer.cancer.gov/stdpopulations/ ] (mortality data and incidence data for SEER areas use 20 age groups while incidence data for NPCR areas use 19 age groups)."

"For Hispanic incidence data, NHIA (NAACCR Hispanic Identification Algorithm) was used for Hispanic Ethnicity (see Technical Notes section of the USCS [ https://www.cdc.gov/cancer/uscs/technical_notes/stat_methods/suppression.htm ] )."

"Statistics for minorities may be affected by inconsistent race identification between the cancer case reports (sources for numerator of rate) and data from the Census Bureau (source for denominator of rate); and from undercounts of some population groups in the census."

"Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ [ https://statecancerprofiles.cancer.gov/historicaltrend/differences.html ] for selected racial groups or counties."
