
"Incidence, Michigan, All Cancer Sites, Black Non-Hispanic, All Ages, Both Sexes"

Section 1 - Line Segments:
Period,Annual Percent Change (1),Lower 95% Confidence Interval,Upper 95% Confidence Interval,Recent Trend
2002-2022,-1.5,-1.6,-1.3,falling

Section 2 - Yearly Points:
Year,Observed,Estimated
2002,597.1,598.5
2003,590.0,589.8
2004,566.7,581.2
2005,546.6,572.7
2006,567.7,564.4
2007,565.6,556.2
2008,561.4,548.1
2009,551.9,540.1
2010,544.4,532.2
2011,545.6,524.4
2012,512.5,516.8
2013,510.0,509.3
2014,481.0,501.9
2015,493.6,494.5
2016,488.2,487.3
2017,482.1,480.2
2018,461.7,473.2
2019,468.0,466.4
2020,422.1,459.6
2021,450.2,452.9
2022,449.8,446.3


Notes:

Created by statecancerprofiles.cancer.gov on 02/24/2026 5:56 pm.

"Source: Incidence data provided by the SEER Program [ https://seer.cancer.gov ] and the National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] SEER*Stat Database United States Department of Health and Human Services, Centers for Disease Control and Prevention. Rates calculated by the National Cancer Institute using SEER*Stat [ https://seer.cancer.gov/seerstat/ ]. Rates are age-adjusted to the 2000 US standard population [ https://seer.cancer.gov/stdpopulations/ ] (SEER areas use 20 age groups and NPCR areas use 19 age groups). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US populations included with the data release have been adjusted for the population shifts due to hurricanes Katrina and Rita [ https://seer.cancer.gov/data/hurricane.html ] for 62 counties and parishes in Alabama, Mississippi, Louisiana, and Texas. The US Population Data [ https://seer.cancer.gov/popdata/ ] File is used with SEER data. Rates and trends in this graph are computed using the same standard for malignancy. For more information see malignant.html [ https://statecancerprofiles.cancer.gov/malignant.html ]."

"The 2020 incidence rate is displayed but not used in the fit of the trend line(s). Impact of COVID on SEER Cancer Incidence 2020 data [ https://seer.cancer.gov/data/covid-impact.html ]."

"(1) The APC is the Annual Percent Change over the time interval.  Rates used in the calculation of the APC are age-adjusted to the 2000 U.S. standard population [ https://seer.cancer.gov/stdpopulations/ ] (mortality data and incidence data for SEER areas use 20 age groups while incidence data for NPCR areas use 19 age groups)."

"For Hispanic incidence data, NHIA (NAACCR Hispanic Identification Algorithm) was used for Hispanic Ethnicity (see Technical Notes section of the USCS [ https://www.cdc.gov/cancer/uscs/technical_notes/stat_methods/suppression.htm ] )."

"Statistics for minorities may be affected by inconsistent race identification between the cancer case reports (sources for numerator of rate) and data from the Census Bureau (source for denominator of rate); and from undercounts of some population groups in the census."

"Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ [ https://statecancerprofiles.cancer.gov/historicaltrend/differences.html ] for selected racial groups or counties."
