data_origin,division,section,program,end_user_final,uid
,EHB,Lead Services Section,No Program Listed,Other Areas of MDHHS,810
,EHB,Lead Services Section,No Program Listed,LHDs,810
EHB,EHB,Toxicology and Assessment Section,No Program Listed,Other Areas of MDHHS,598
External Program Partners,EHB,Toxicology and Assessment Section,No Program Listed,Other Areas of MDHHS,598
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,973
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,973
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,973
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,973
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,973
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,973
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,973
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,973
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,268
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,170
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,170
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,170
External Program Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
External Program Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
External Program Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
External Program Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,979
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
Federal Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
Federal Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
Federal Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,802
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
State of Michigan,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
Federal Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
Federal Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
External Laboratories,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,665
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,668
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,668
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
Other Areas of MDHHS,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
External Program Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
External Program Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
External Program Partners,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
EGLE,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,905
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EHB,420
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,LHDs,913
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,LHDs,913
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EGLE,913
EHB,EHB,Environmental Epidemiology and Analytics Section,PFAS Program,Within EGLE,913
